Plant,Tt_myco_mass_wholesystem,Sp_myco_mass_wholesystem,Tt_dead_mass_wholesystem,Sp_dead_mass_wholesystem,NM_mass_wholesystem,percent_col_denominator,total_root_mass_wholesystem,percent_Tt,percent_Sp,percent_Tt_dead,percent_Sp_dead,N_level,Batch,competitors_attempted,competitors,enriched,shoot_biomass
6077,0,0.00876,0,0.00882,0.06953999999999999,0.08711999999999999,0.80593,0,10.055096418732784,0,10.123966942148762,Low,FC03,Sp/Sp,Sp/Sp,1,0.77022
6078,0.01268,0.00375,0,0.00644,0.058499999999999996,0.08137,0.40114000000000005,15.583138748924666,4.608578100036868,0,7.914464790463316,Low,FC04,Tt/Sp,Tt/Sp,1,0.38778
6078,0.01268,0.00375,0,0.00644,0.058499999999999996,0.08137,0.40114000000000005,15.583138748924666,4.608578100036868,0,7.914464790463316,Low,FC04,Tt/Sp,Tt/Sp,1,0.38778
6079,0,0.0062,0,0.0114,0.10879999999999998,0.12639999999999998,0.4413,0,4.905063291139241,0,9.018987341772153,Low,FC06,Sp/None,Sp/None,1,0.45487000000000005
6079,0,0.0062,0,0.0114,0.10879999999999998,0.12639999999999998,0.4413,0,4.905063291139241,0,9.018987341772153,Low,FC06,Sp/None,Sp/None,1,0.45487000000000005
6080,0.023969999999999998,0,0,0,0.06280000000000001,0.08677000000000001,0.76397,27.624755099688826,0,0,0,Low,FC06,Tt/Tt,Tt/Tt,1,0.49875
6080,0.023969999999999998,0,0,0,0.06280000000000001,0.08677000000000001,0.76397,27.624755099688826,0,0,0,Low,FC06,Tt/Tt,Tt/Tt,1,0.49875
6082,0,0,0,0,0.0315,0.0315,1.0116,0,0,0,0,High,FC02,None/None,FAILED,1,2.1071
6082,0,0,0,0,0.0315,0.0315,1.0116,0,0,0,0,High,FC02,None/None,FAILED,1,2.1071
6084,0,0.022,0,0.02593,0.05308,0.10101,1.49508,0,21.780021780021777,0,25.67072567072567,Low,FC04,Sp/Sp,Sp/Sp,1,1.14626
6084,0,0.022,0,0.02593,0.05308,0.10101,1.49508,0,21.780021780021777,0,25.67072567072567,Low,FC04,Sp/Sp,Sp/Sp,1,1.14626
6085,0.0342,0.0015,0,0.0033,0.05724,0.09623999999999999,0.52894,35.53615960099751,1.5586034912718207,0,3.4289276807980054,Low,FC06,Tt/Sp,Tt/Sp,1,0.61031
6085,0.0342,0.0015,0,0.0033,0.05724,0.09623999999999999,0.52894,35.53615960099751,1.5586034912718207,0,3.4289276807980054,Low,FC06,Tt/Sp,Tt/Sp,1,0.61031
6087,0.0451,0,0.0174,0,0.13090000000000002,0.19340000000000002,1.3504999999999998,23.319544984488104,0,0,0,High,FC09,Tt/Tt,Tt/Tt,1,4.40099
6087,0.0451,0,0.0174,0,0.13090000000000002,0.19340000000000002,1.3504999999999998,23.319544984488104,0,0,0,High,FC09,Tt/Tt,Tt/Tt,1,4.40099
6088,0.01761,0,0,0,0.03606,0.05367,0.8157300000000001,32.811626607043046,0,0,0,Low,FC01,None/None,Tt/Tt,1,0.84949
6088,0.01761,0,0,0,0.03606,0.05367,0.8157300000000001,32.811626607043046,0,0,0,Low,FC01,None/None,Tt/Tt,1,0.84949
6090,0.03334,0,0,0,0.09539,0.12873,1.65838,25.89916880292084,0,0,0,High,FC12,Tt/None,Tt/None,1,2.92802
6090,0.03334,0,0,0,0.09539,0.12873,1.65838,25.89916880292084,0,0,0,High,FC12,Tt/None,Tt/None,1,2.92802
6091,0.07396,0,0,0,0.07853,0.15249000000000001,1.16593,48.501541084661284,0,0,0,High,B03,Sp/None,Tt/None,0,2.22568
6091,0.07396,0,0,0,0.07853,0.15249000000000001,1.16593,48.501541084661284,0,0,0,High,B03,Sp/None,Tt/None,0,2.22568
6092,0,0.00379,0,0.00245,0.10014,0.10638,0.59518,0,3.5626997555931563,0,2.3030644858056024,Low,FC08,Sp/Sp,Sp/Sp,1,0.7103600000000001
6092,0,0.00379,0,0.00245,0.10014,0.10638,0.59518,0,3.5626997555931563,0,2.3030644858056024,Low,FC08,Sp/Sp,Sp/Sp,1,0.7103600000000001
6093,0.11911,0,0,0,0.21852,0.33763,2.06933,35.27826318751296,0,0,0,High,FC15,Tt/None,Tt/Tt,1,4.36117
6093,0.11911,0,0,0,0.21852,0.33763,2.06933,35.27826318751296,0,0,0,High,FC15,Tt/None,Tt/Tt,1,4.36117
6094,0.05851,0,0,0,0.09706999999999999,0.15558,2.20593,37.60766165316879,0,0,0,High,FC12,Sp/None,Tt/Tt,1,4.2109
6094,0.05851,0,0,0,0.09706999999999999,0.15558,2.20593,37.60766165316879,0,0,0,High,FC12,Sp/None,Tt/Tt,1,4.2109
6096,0,0,0,0,0.0443,0.0443,0.41374,0,0,0,0,Low,FC04,None/None,Tt/None,1,0.43969
6096,0,0,0,0,0.0443,0.0443,0.41374,0,0,0,0,Low,FC04,None/None,Tt/None,1,0.43969
6097,0.05505,0,8.1e-4,0,0.13727999999999999,0.19313999999999998,0.9662499999999999,28.50264057160609,0,0,0,High,FC05,Tt/Sp,Tt/Tt,1,1.75925
6097,0.05505,0,8.1e-4,0,0.13727999999999999,0.19313999999999998,0.9662499999999999,28.50264057160609,0,0,0,High,FC05,Tt/Sp,Tt/Tt,1,1.75925
6098,0,0.0014,0,2e-4,0.0868,0.0884,0.8471,0,1.583710407239819,0,0.2262443438914027,High,FC09,Sp/None,MIXED/THETE,1,0.981
6098,0,0.0014,0,2e-4,0.0868,0.0884,0.8471,0,1.583710407239819,0,0.2262443438914027,High,FC09,Sp/None,MIXED/THETE,1,0.981
6099,0.04142,0,0,0,0.1387,0.18012,1.91595,22.9957805907173,0,0,0,High,FC16,None/None,Tt/Tt,1,3.86633
6099,0.04142,0,0,0,0.1387,0.18012,1.91595,22.9957805907173,0,0,0,High,FC16,None/None,Tt/Tt,1,3.86633
6100,0.029449999999999997,0,0,0,0.09484,0.12428999999999998,0.6998599999999999,23.69458524418698,0,0,0,Low,FC01,Tt/None,Tt/Tt,1,0.58335
