Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13
6015,a,NA,0.01511747117134421,0.01971226536119053,Sp,NA,-4.56165360305294e-4,-0.0014415376012988368,N,High,N,Tt/Sp,Sp,10.7,1.2,9.3,-10.487046024830187,Other,-33.140331307109044,0.0027,0.0639,NA,0.0974,39.61562306261624,THETE/SUIPU,1,FC07,Tt,151.1747117134421,197.1226536119053,-4.56165360305294,-14.415376012988368,5.018436199185023,5.28382614216559
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,16.356593605505388,Other,2.120999382090656,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,1,FC07,Sp,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834
6016,a,NA,0.006839168868316259,0.004816106093640249,Tt,NA,-1.0581548273219665e-4,-1.4231014668225628e-4,N,Low,N,Tt/None,Tt,37.5,0.8,47.5,-48.058195622455855,None,-64.63296950244214,NA,0.05775,NA,0.0637,47.55043227665706,THETE/NM,1,FC03,None,68.39168868316258,48.16106093640249,-1.0581548273219665,-1.4231014668225628,4.225251306765429,3.8745508301682725
6016,b,NA,NA,0.007421883555783326,None,NA,NA,-9.30601413702159e-4,Y,Low,N,Tt/None,None,46.3,0.6,81.6,-7.975362433909558,None,NA,NA,0,NA,0.02443,0,THETE/NM,1,FC03,Tt,NA,74.21883555783326,NA,-9.30601413702159,NA,4.307017966447578
6019,a,NA,0.0314281573949684,0.009356886849290369,Sp,NA,0.014271001976754571,-7.116303660598677e-4,Y,Low,N,Sp/Sp,Sp,45.2,0.9,50.8,-44.163597977105475,Self,2.2022390191074455,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU/SUIPU,1,FC13,Sp,314.28157394968406,93.56886849290369,142.7100197675457,-7.116303660598677,5.750289316407859,4.538697726587834
6019,b,NA,0.023801053334227884,0.007136024378321171,Sp,NA,9.125524060649148e-5,-2.6274272740728355e-4,N,Low,N,Sp/Sp,Sp,42.8,0.8,56.1,-90.58691583624054,Self,260.81848205148214,5.5e-4,0.00259,NA,0.049569999999999996,4.965490797546012,SUIPU/SUIPU,1,FC13,Sp,238.01053334227885,71.3602437832117,0.9125524060649148,-2.6274272740728355,5.472314930432797,4.267740904510477
6020,a,NA,0.0250540013276197,0.010720139165737885,Sp,NA,2.0438808139339182e-4,-4.744128172703421e-4,N,Low,N,Sp/Sp,Sp,40.8,0.6,63.1,-52.810548989326286,Self,122.58053971061805,NA,0,NA,0.07132,0,SUIPU/SUIPU,1,FC11,Sp,250.54001327619702,107.20139165737885,2.043880813933918,-4.744128172703421,5.523618641406373,4.674709230430972
6020,b,NA,0.03720814712046905,0.010676163871104594,Sp,NA,0.0022991239380654727,-3.1018594520865195e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.5,90.1,-119.95432963747066,Self,16.18361955370562,0.01921,0.00283,NA,0.03295,7.909446618222471,SUIPU/SUIPU,1,FC11,Sp,372.0814712046905,106.76163871104593,22.991239380654726,-3.1018594520865195,5.919112838909021,4.670598673903777
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,-14.934571030321676,Self,-72.3305958381576,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,1,FC13,Tt,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084
6021,b,0.0017923525687293385,0.004057436218082744,0.002408113730523853,Tt,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,N,Low,N,Tt/Tt,Tt,21.5,0.7,30.7,-4.227387219663426,Self,-13.55925020217491,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,THETE/THETE,1,FC13,Tt,40.574362180827436,24.08113730523853,-2.992375063211039,-9.597976261104812,3.7031363937657633,3.1814288496092975
6022,a,NA,0.018711999630377507,0.026317907926934447,Tt,NA,4.016290571162706e-5,-3.6305659057433992e-6,Y,High,N,Tt/Tt,Tt,26.5,1.4,18.9,-5154.017339494079,Self,465.9025361544105,NA,0.0427,NA,0.0451,48.63325740318907,THETE/THETE,1,FC07,Tt,187.11999630377508,263.17907926934447,0.4016290571162706,-0.03630565905743399,5.231750102522691,5.5728347102332565
6022,b,NA,0.022097432765042058,0.023185558481169988,Tt,NA,9.999601571684114e-4,-3.028869856829264e-4,N,High,N,Tt/Tt,Tt,37.6,1.4,26.6,-72.95603247930399,Self,22.09831322441425,NA,0.03,NA,0.06075,33.057851239669425,THETE/THETE,1,FC07,Tt,220.97432765042058,231.85558481169988,9.999601571684114,-3.028869856829264,5.398046530292403,5.4461146985857445
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,9.14263628591459,Self,2.9072188251500535,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,1,FC14,Tt,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397
6023,b,NA,0.0525339357059178,0.02879067523123502,Tt,NA,0.0018356620947948543,-0.0011641715920852058,N,High,N,Tt/Tt,Tt,46.8,2.9,16.2,-45.125594940709426,Self,28.618521815578898,NA,0.0027,NA,0.0446,5.708245243128964,THETE/THETE,1,FC14,Tt,525.339357059178,287.9067523123502,18.356620947948542,-11.641715920852057,6.264044448167182,5.6626366510157276
6024,a,0.023119612149667512,0.03225234172026625,0.02675752004110965,Tt,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,N,High,N,Tt/Tt,Tt,47.7,2.4,19.7,-45.09052025503705,Self,26.53916643384061,NA,0.0259,NA,0.10700000000000001,19.488337095560567,THETE/THETE,1,FC14,Tt,322.52341720266253,267.5752004110965,12.152733508291602,-7.152798756333567,5.776175745080866,5.589400649860522
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,4233.181249846659,Self,5.866409545438396,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,1,FC14,Tt,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,7.544804870507786,Other,4.8998658730745275,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,1,FC07,Sp,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289
6025,b,NA,0.03180178932473887,0.03981221827374681,Sp,NA,4.270035662953253e-4,-0.001003591976806606,N,High,N,Tt/Sp,Sp,44.1,1.2,37.3,-31.687966882647903,Other,74.47663634440008,0.01904,0.01307,NA,0.05161,20.20717377860235,THETE/SUIPU,1,FC07,Tt,318.0178932473887,398.1221827374681,4.270035662953253,-10.035919768066059,5.762107649270738,5.98675894997478
6026,a,NA,0.018063464883455005,0.014578819015147904,Tt,NA,0.004437561319404981,-1.0946494792402062e-4,Y,High,N,Tt/Tt,Tt,46.4,1.9,24.6,-165.01597293037418,Self,4.070583724548301,NA,0.02705,NA,0.09192,22.736824409515002,THETE/THETE,1,FC15,Tt,180.63464883455003,145.78819015147903,44.37561319404981,-1.0946494792402062,5.196476476593163,4.982154815961063
