Plant,Side,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,mycofungus,APE13C,APE15N,pctC,pctN,CNratio
6022,b,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.023185558481169988,-3.028869856829264e-4,37.6,1.4,26.6
6067,b,uncolonized_roots,1,Y,Low,N,MIXED/THETE,MIXED,NM,0.0026170309544140125,-0.00134664905593751,47.8,0.8,62.9
6033,b,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,SUIPU,SUIPU,0.02005301060536402,0.0015035726104622449,32.2,1.8,17.9
6093,b,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.01876695981122012,0.003229683909854675,37,2,18.7
6057,a,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,THETE,0.00975267365108734,3.9415872124748397e-4,42.6,1,44.3
6023,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.028526919277042095,0.009812443091747558,46.4,2.5,18.3
6072,a,hyphae,1,N,Low,N,THETE/THETE,THETE,THETE,0.0032987547048068944,-1.71505897091917e-4,36.2,1.6,23
6025,b,uncolonized_roots,1,N,High,N,THETE/SUIPU,SUIPU,SUIPU,0.03981221827374681,-0.001003591976806606,44.1,1.2,37.3
6026,b,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.021679761989539026,0.002456043112603057,41.7,2.4,17.2
6052,b,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,THETE,0.12205002480748939,2.773768745827909e-4,35.5,2.4,14.8
6056,b,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,SUIPU,SUIPU,0.004475255850144633,0.0011276884351851257,22.7,0.6,36.9
6056,a,mycorrhizas,1,N,Low,N,MIXED/SUIPU,MIXED,SUIPU,0.022526091208506127,2.8467574801988027e-4,26.8,0.8,33.5
6074,a,uncolonized_roots,1,N,Low,N,NM/NM,NM,NM,0.0069930941699971605,5.401356445906558e-4,48.9,0.8,64.8
6038,b,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.01773369819095838,-1.3866067908407942e-4,48.1,1.8,26.6
6035,a,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,THETE,0.006344405725396074,-9.486708876055294e-5,43.6,0.8,55.2
6016,a,mycorrhizas,1,N,Low,N,THETE/NM,THETE,THETE,0.006839168868316259,-1.0581548273219665e-4,37.5,0.8,47.5
6002,a,mycorrhizas,1,N,High,N,MIXED/SUIPU,SUIPU,SUIPU,0.029340162283762128,0.0010984934290833026,19.6,1.8,10.6
6068,a,uncolonized_roots,1,N,High,N,THETE/NM,NM,NM,0.0034087092684145226,-0.0012006670313824408,41.5,1.7,24.8
6006,b,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.006839168868316259,0.0021823465571397804,18.3,1.8,10
6082,a,uncolonized_roots,1,Y,High,N,FAILED,OTHER,OTHER,-2.199204016031242e-4,6.642156931041532e-4,35.1,1.5,23.7
6038,b,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.04125154051905788,0.004200367160267726,42.9,2.1,20.1
6035,b,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,THETE,0.005574764331746751,-9.121762463820682e-5,47.1,1.3,36.6
6031,b,uncolonized_roots,1,N,Low,N,THETE/NM,NM,NM,0.009455833846683026,-1.2771227789387662e-4,42.9,0.8,53.1
6035,b,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,THETE,0.00857629803998261,-3.028869856829264e-4,48.2,0.9,52.8
6053,b,mycorrhizas,1,N,Low,N,THETE/SUIPU,SUIPU,SUIPU,0.011511687782703506,5.218885525661299e-4,37.2,0.9,40.7
6020,a,uncolonized_roots,1,N,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.010720139165737885,-4.744128172703421e-4,40.8,0.6,63.1
6026,a,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.014578819015147904,-1.0946494792402062e-4,46.4,1.9,24.6
6012,a,hyphae,1,Y,High,N,THETE/SUIPU,THETE,THETE,0.014040160991854789,0.008170483708488274,4.2,0.3,12.9
6038,a,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.06400045049432634,-4.6711383368225334e-4,44.9,2.4,18.9
6050,a,mycorrhizas,1,N,High,N,SUIPU/SUIPU,SUIPU,SUIPU,0.022657985366622002,-1.2041334510382029e-4,14.9,1.2,12.3
6092,b,uncolonized_roots,1,N,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.005299889502883737,-3.3208283020252916e-4,48.1,0.6,74.1
6008,a,uncolonized_roots,1,N,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.004882076837188887,-1.4231014668225628e-4,44.7,1.1,40.5
6013,a,mycorrhizas,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.025043010693769352,5.145897138847388e-4,37.4,1.2,32.1
6022,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.018711999630377507,4.016290571162706e-5,26.5,1.4,18.9
6079,b,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,NM,0.00350766816666237,-8.756816078292484e-5,46.7,0.8,55.9
6069,a,hyphae,1,Y,Low,N,THETE/NM,THETE,THETE,0.0027599738096735216,2.5912968631119915e-4,36.4,1.6,22.5
6031,a,uncolonized_roots,1,Y,Low,N,THETE/NM,THETE,THETE,0.005948591647396917,-7.992186696161863e-4,45,0.6,75.7
6015,b,hyphae,1,Y,High,N,THETE/SUIPU,THETE,THETE,0.02018491135985867,0.008316437845406421,15.6,1.3,12
6040,b,uncolonized_roots,1,Y,High,N,THETE/NM,NM,NM,0.007542823479634642,-9.30601413702159e-4,44.3,1.5,29.4
6057,a,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,MIXED,NM,0.005761678342767418,-4.598148511635869e-4,48.6,0.5,91.2
6027,a,hyphae,1,Y,High,Y,THETE,THETE,THETE,0.011544668700143701,0.005094400788785425,18.4,1.3,14.6
6020,b,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.010676163871104594,-3.1018594520865195e-4,42.7,0.5,90.1
6059,b,hyphae,1,N,High,Y,THETE,THETE,THETE,0.005926601883516014,0.002003530662064268,12,0.9,13.5
6036,b,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.005233919316637747,-1.9340272112816637e-4,42.7,0.6,72.6
6082,b,hyphae,1,N,High,N,FAILED,OTHER,OTHER,0.008565303743415686,0.0016641436265715792,22.3,1.5,14.7
