uniqueID,Plant,Side,dead_tissue.x,other.x,roots.x,Sp_myco_mass,Tt_myco_mass,<NA>.x,mycorrhizas.x,other.y,roots.y,Sp_dead_mass,Tt_dead_mass,<NA>.y,dead_tissue.y,mycorrhizas.y,uncolonized_root_mass,Sp_other_mass,Tt_other_mass,<NA>,percent_Tt_mycos,percent_Sp_mycos,percent_Tt_dead,percent_Sp_dead,N_level,Batch,compartment_fungus_attempted,compartment_fungus,competitors_attempted,competitors,enriched,total_root_biomass_compartment
6029B,6029,B,NA,NA,0.03923,NA,0.00153,NA,0.00153,NA,0.03923,NA,NA,NA,NA,0.00153,0.03923,NA,NA,NA,3.7536800785083417,0,0,0,Low,FC08,Tt,Tt,Tt/Tt,Tt/Tt,1,0.31665
6030A,6030,A,NA,NA,0.07332,NA,0.0072,NA,0.0072,NA,0.07332,NA,NA,NA,NA,0.0072,0.07332,NA,NA,NA,8.941877794336811,0,0,0,Low,FC11,Tt,Tt,Tt/Tt,Tt/Tt,1,0.32902
6030B,6030,B,NA,NA,0.040330000000000005,NA,0.00637,NA,0.00637,NA,0.040330000000000005,NA,NA,NA,NA,0.00637,0.040330000000000005,NA,NA,NA,13.640256959314772,0,0,0,Low,FC11,Tt,Tt,Tt/Tt,Tt/Tt,1,0.60574
6031A,6031,A,NA,NA,0.017980000000000003,NA,0.00805,NA,0.00805,NA,0.017980000000000003,NA,NA,NA,NA,0.00805,0.017980000000000003,NA,NA,NA,30.925854782942753,0,0,0,Low,FC04,Tt,Tt,Tt/None,Tt/None,1,0.37408
6031B,6031,B,NA,NA,0.049240000000000006,NA,NA,0.0034,0.0034,NA,0.049240000000000006,NA,NA,NA,NA,0.0034,0.049240000000000006,NA,NA,NA,0,0,0,0,Low,FC04,None,None,Tt/None,Tt/None,1,0.12464
6032A,6032,A,NA,NA,0.03577,NA,0.02623,NA,0.02623,NA,0.03577,NA,NA,NA,NA,0.02623,0.03577,NA,NA,NA,42.306451612903224,0,0,0,Low,FC04,Tt,Tt,Tt/Tt,Tt/Tt,1,0.4127
6032B,6032,B,NA,NA,0.04517,NA,0.02386,NA,0.02386,NA,0.04517,NA,NA,NA,NA,0.02386,0.04517,NA,NA,NA,34.564682022309135,0,0,0,Low,FC04,Tt,Tt,Tt/Tt,Tt/Tt,1,0.33479
6033A,6033,A,0.00296,NA,0.02336,0.0094,NA,NA,0.0094,NA,0.02336,0.00296,NA,NA,0.00296,0.0094,0.02336,NA,NA,NA,0,26.315789473684216,0,8.28667413213886,Low,FC01,Sp,Sp,Sp/Sp,Sp/Sp,1,0.19145
6033B,6033,B,NA,NA,0.05809,0.00314,NA,NA,0.00314,NA,0.05809,NA,NA,NA,NA,0.00314,0.05809,NA,NA,NA,0,5.128205128205128,0,0,Low,FC01,Sp,Sp,Sp/Sp,Sp/Sp,1,0.16096
6034A,6034,A,NA,NA,0.040190000000000003,NA,0.02442,NA,0.02442,NA,0.040190000000000003,NA,NA,NA,NA,0.02442,0.040190000000000003,NA,NA,NA,37.79600681009132,0,0,0,High,FC05,Tt,Tt,Tt/Sp,MIXED/THETE,1,0.46328
6034B,6034,B,0.02213,NA,0.053720000000000004,0.01653,0.00737,NA,0.00737,NA,0.053720000000000004,NA,0.02213,NA,0.02213,0.00737,0.053720000000000004,NA,NA,NA,8.856044220139388,0,26.592165344869024,0,High,FC05,Sp,Mixed,Tt/Sp,MIXED/THETE,1,0.32173
6035A,6035,A,NA,NA,0.01781,NA,8.5e-4,NA,8.5e-4,NA,0.01781,NA,NA,NA,NA,8.5e-4,0.01781,NA,NA,NA,4.555198285101822,0,0,0,Low,FC13,Tt,Tt,Tt/Tt,Tt/Tt,1,0.43214
6035B,6035,B,NA,NA,0.02195,NA,0.00437,NA,0.00437,NA,0.02195,NA,NA,NA,NA,0.00437,0.02195,NA,NA,NA,16.60334346504559,0,0,0,Low,FC13,Tt,Tt,Tt/Tt,Tt/Tt,1,0.16472
6036A,6036,A,0.0037,NA,0.04554,3e-4,NA,NA,3e-4,NA,0.04554,0.0037,NA,NA,0.0037,3e-4,0.04554,NA,NA,NA,0,0.6055712555510697,0,7.468712151796527,Low,FC11,Sp,Sp,Sp/None,Sp/Sp,1,0.37178
6036B,6036,B,1.6e-4,NA,0.04259,0,NA,NA,0,NA,0.04259,1.6e-4,NA,NA,1.6e-4,0,0.04259,NA,NA,NA,0,0,0,0.37426900584795325,Low,FC11,None,Sp,Sp/None,Sp/Sp,1,0.26703
6038A,6038,A,NA,NA,0.18480000000000002,NA,0.0095,NA,0.0095,NA,0.18480000000000002,NA,NA,NA,NA,0.0095,0.18480000000000002,NA,NA,NA,4.889346371590323,0,0,0,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,1.1401999999999999
6038B,6038,B,NA,NA,0.036699999999999997,NA,0.0325,NA,0.0325,NA,0.036699999999999997,NA,NA,NA,NA,0.0325,0.036699999999999997,NA,NA,NA,46.96531791907515,0,0,0,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,1.1055
6039A,6039,A,NA,NA,0.03635,NA,0.01556,NA,0.01556,NA,0.03635,NA,NA,NA,NA,0.01556,0.03635,NA,NA,NA,29.974956655750333,0,0,0,Low,FC10,Tt,Tt,Tt/None,Tt/None,1,0.48701
6039B,6039,B,NA,NA,0.05432,NA,NA,0,0,NA,0.05432,NA,NA,NA,NA,0,0.05432,NA,NA,NA,0,0,0,0,Low,FC10,None,None,Tt/None,Tt/None,1,0.46457
6040A,6040,A,NA,NA,0.031,NA,0.2364,NA,0.2364,NA,0.031,NA,NA,NA,NA,0.2364,0.031,NA,NA,NA,88.40688107703815,0,0,0,High,FC09,Tt,Tt,Tt/None,Tt/None,1,0.61
6040B,6040,B,NA,NA,0.04905,NA,NA,0,0,NA,0.04905,NA,NA,NA,NA,0,0.04905,NA,NA,NA,0,0,0,0,High,FC09,None,None,Tt/None,Tt/None,1,0.37764
6041A,6041,A,0.0037,NA,0.046,0.0205,NA,NA,0.0205,NA,0.046,0.0037,NA,NA,0.0037,0.0205,0.046,NA,NA,NA,0,29.2022792022792,0,5.270655270655271,High,FC07,Sp,Sp,Sp/None,Tt/Sp,1,0.518
6041B,6041,B,NA,NA,0.0352,NA,0.0018,NA,0.0018,NA,0.0352,NA,NA,NA,NA,0.0018,0.0352,NA,NA,NA,4.864864864864864,0,0,0,High,FC07,None,Tt,Sp/None,Tt/Sp,1,0.28609999999999997
6043A,6043,A,NA,NA,0.1021,0.0162,NA,NA,0.0162,NA,0.1021,NA,NA,NA,NA,0.0162,0.1021,NA,NA,NA,0,13.693998309382927,0,0,High,FC02,Sp,Sp,Sp/Sp,Sp/Sp,1,0.41282
6043B,6043,B,0.00316,NA,0.04733,0.00207,NA,NA,0.00207,NA,0.04733,0.00316,NA,NA,0.00316,0.00207,0.04733,NA,NA,NA,0,3.9383561643835607,0,6.012176560121765,High,FC02,Sp,Sp,Sp/Sp,Sp/Sp,1,0.65135
6044A,6044,A,NA,NA,0.032529999999999996,NA,0.01025,NA,0.01025,NA,0.032529999999999996,NA,NA,NA,NA,0.01025,0.032529999999999996,NA,NA,NA,23.95979429640019,0,0,0,Low,FC13,None,Tt,None/None,Tt/Tt,1,0.31972
6044B,6044,B,NA,NA,0.02524,NA,0.0018600000000000001,NA,0.0018600000000000001,NA,0.02524,NA,NA,NA,NA,0.0018600000000000001,0.02524,NA,NA,NA,6.863468634686347,0,0,0,Low,FC13,None,Tt,None/None,Tt/Tt,1,0.13027
6045A,6045,A,0.00144,NA,0.05926,NA,0.01733,NA,0.01733,NA,0.05926,NA,0.00144,NA,0.00144,0.01733,0.05926,NA,NA,NA,22.209406638472384,0,1.845444059976932,0,Low,FC03,Tt,Tt,Tt/Tt,Tt/Tt,1,0.38039
6045B,6045,B,NA,NA,0.032869999999999996,NA,0.03315,NA,0.03315,NA,0.032869999999999996,NA,NA,NA,NA,0.03315,0.032869999999999996,NA,NA,NA,50.21205695243866,0,0,0,Low,FC03,Tt,Tt,Tt/Tt,Tt/Tt,1,0.21984
6048A,6048,A,NA,NA,0.00795,NA,NA,0,0,NA,0.00795,NA,NA,NA,NA,0,0.00795,NA,NA,NA,0,0,0,0,High,FC02,Sp,None,Sp/Sp,Tt/None,1,0.07287
6048B,6048,B,NA,NA,0.0211,NA,0.00354,NA,0.00354,NA,0.0211,NA,NA,NA,NA,0.00354,0.0211,NA,NA,NA,14.366883116883116,0,0,0,High,FC02,Sp,Tt,Sp/Sp,Tt/None,1,0.1578
6049A,6049,A,0.02036,NA,0.08981,NA,0.0172,NA,0.0172,NA,0.08981,NA,0.02036,NA,0.02036,0.0172,0.08981,NA,NA,NA,13.503964826882314,0,15.984925806704878,0,High,FC02,Tt,Tt,Tt/None,Tt/None,1,0.7023699999999999
6049B,6049,B,NA,NA,0.03994,NA,NA,0,0,NA,0.03994,NA,NA,NA,NA,0,0.03994,NA,NA,NA,0,0,0,0,High,FC02,None,None,Tt/None,Tt/None,1,0.68338
6050A,6050,A,0.00794,NA,0.03553,0.01354,NA,NA,0.01354,NA,0.03553,0.00794,NA,NA,0.00794,0.01354,0.03553,NA,NA,NA,0,23.750219259778984,0,13.927381161199786,High,FC05,Sp,Sp,Sp/Sp,Sp/Sp,1,0.51048
6050B,6050,B,0.02985,NA,0.03931,0.02736,NA,NA,0.02736,NA,0.03931,0.02985,NA,NA,0.02985,0.02736,0.03931,NA,NA,NA,0,28.346456692913385,0,30.926232905097393,High,FC05,Sp,Sp,Sp/Sp,Sp/Sp,1,0.79656
6051A,6051,A,NA,NA,0.05215,NA,NA,0,0,NA,0.05215,NA,NA,NA,NA,0,0.05215,NA,NA,NA,0,0,0,0,High,FC09,Sp,None,Sp/None,Tt/None,1,0.15386
6051B,6051,B,NA,NA,0.02715,NA,0.0218,NA,0.0218,NA,0.02715,NA,NA,NA,NA,0.0218,0.02715,NA,NA,NA,44.535240040858014,0,0,0,High,FC09,None,Tt,Sp/None,Tt/None,1,0.44975
6052A,6052,A,NA,NA,0.038060000000000004,NA,0.01834,NA,0.01834,NA,0.038060000000000004,NA,NA,NA,NA,0.01834,0.038060000000000004,NA,NA,NA,32.51773049645389,0,0,0,High,FC12,Tt,Tt,Tt/Sp,MIXED/THETE,1,0.60744
6052B,6052,B,NA,NA,0.05236,3.9e-4,0.0055,NA,3.9e-4,NA,0.05236,NA,NA,NA,NA,3.9e-4,0.05236,NA,NA,NA,100,0,0,0,High,FC12,Sp,Mixed,Tt/Sp,MIXED/THETE,1,0.6225299999999999
6053A,6053,A,NA,NA,0.046400000000000004,NA,0.01596,NA,0.01596,NA,0.046400000000000004,NA,NA,NA,NA,0.01596,0.046400000000000004,NA,NA,NA,25.593329057087878,0,0,0,Low,FC08,Tt,Tt,Tt/Sp,Tt/Sp,1,0.24942999999999999
6053B,6053,B,0.01541,NA,0.04428,0.00544,NA,NA,0.00544,NA,0.04428,0.01541,NA,NA,0.01541,0.00544,0.04428,NA,NA,NA,0,8.35252571779518,0,23.660371564563185,Low,FC08,Sp,Sp,Tt/Sp,Tt/Sp,1,0.38277
6054A,6054,A,NA,NA,0.0235,NA,0.0097,NA,0.0097,NA,0.0235,NA,NA,NA,NA,0.0097,0.0235,NA,NA,NA,29.21686746987952,0,0,0,Low,FC06,Tt,Tt,Tt/None,Tt/None,1,0.3327
6054B,6054,B,NA,NA,0.0273,NA,NA,0,0,NA,0.0273,NA,NA,NA,NA,0,0.0273,NA,NA,NA,0,0,0,0,Low,FC06,None,None,Tt/None,Tt/None,1,0.21459999999999999
6055A,6055,A,0.00445,NA,0.0451,NA,0.01212,NA,0.01212,NA,0.0451,NA,0.00445,NA,0.00445,0.01212,0.0451,NA,NA,NA,19.652991730176748,0,7.2158261715582945,0,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,0.49276
6055B,6055,B,3e-4,NA,0.1076,NA,0.0192,NA,0.0192,NA,0.1076,NA,3e-4,NA,3e-4,0.0192,0.1076,NA,NA,NA,15.106215578284814,0,0.23603461841070023,0,High,FC09,Tt,Tt,Tt/Tt,Tt/Tt,1,0.5878
6056A,6056,A,0.00358,0.01228,0.01585,7e-4,0,NA,0,0.01228,0.01585,0.00358,NA,NA,0.00358,7e-4,0.01585,NA,0.01228,NA,0,100,0,0,Low,FC10,Sp,Mixed,Sp/None,MIXED/SUIPU,1,0.19634000000000001
6056B,6056,B,NA,NA,0.02185,0.01282,NA,NA,0.01282,NA,0.02185,NA,NA,NA,NA,0.01282,0.02185,NA,NA,NA,0,36.97721372944909,0,0,Low,FC10,None,Sp,Sp/None,MIXED/SUIPU,1,0.41708999999999996
6057A,6057,A,0.00511,NA,0.02152,0.00259,0.01115,NA,0.00259,NA,0.02152,NA,0.00511,NA,0.00511,0.01115,0.02152,NA,NA,NA,34.12917049280686,0,0,0,Low,FC01,Sp,Mixed,Sp/None,MIXED/THETE,1,0.17869000000000002
6057B,6057,B,NA,NA,0.04595,NA,0.02002,NA,0.02002,NA,0.04595,NA,NA,NA,NA,0.02002,0.04595,NA,NA,NA,30.347127482188874,0,0,0,Low,FC01,None,Tt,Sp/None,MIXED/THETE,1,0.13857
6058A,6058,A,NA,NA,0.03195,NA,NA,0,0,NA,0.03195,NA,NA,NA,NA,0,0.03195,NA,NA,NA,0,0,0,0,Low,FC13,None,None,None/None,None/None,1,0.26985
6058B,6058,B,NA,NA,0.07091,NA,NA,0,0,NA,0.07091,NA,NA,NA,NA,0,0.07091,NA,NA,NA,0,0,0,0,Low,FC13,None,None,None/None,None/None,1,0.2958
6061A,6061,A,NA,NA,0.0222,NA,NA,0,0,NA,0.0222,NA,NA,NA,NA,0,0.0222,NA,NA,NA,0,0,0,0,Low,FC01,None,None,None/None,Tt/None,1,0.29653999999999997
6061B,6061,B,NA,NA,0.05926,NA,0.00306,NA,0.00306,NA,0.05926,NA,NA,NA,NA,0.00306,0.05926,NA,NA,NA,4.910141206675224,0,0,0,Low,FC01,None,Tt,None/None,Tt/Tt,1,0.33452
6062A,6062,A,9e-4,NA,0.040459999999999996,0.00143,NA,NA,0.00143,NA,0.040459999999999996,9e-4,NA,NA,9e-4,0.00143,0.040459999999999996,NA,NA,NA,0,3.3419023136246793,0,2.103295162421127,Low,FC03,Sp,Sp,Sp/Sp,Sp/None,1,0.23319
6062B,6062,B,5.6e-4,NA,0.04939,NA,NA,0,0,NA,0.04939,NA,NA,5.6e-4,5.6e-4,0,0.04939,NA,NA,NA,0,0,0,0,Low,FC03,Sp,None,Sp/Sp,Sp/None,1,0.35437
6063A,6063,A,0.0031,NA,0.06801,0.0122,NA,NA,0.0122,NA,0.06801,0.0031,NA,NA,0.0031,0.0122,0.06801,NA,NA,NA,0,14.644100348097467,0,3.721041891729684,High,FC02,Sp,Sp,Sp/Sp,Sp/None,1,0.18411
