Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6024,a,Tt,0.023119612149667512,0.03225234172026625,0.02675752004110965,40,47.7,48.9,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,2.5,2.4,1.8,1,N,High,N,Tt/Tt,THETE,NA,0.0259,NA,0.10700000000000001,19.488337095560567,FC14,Tt,Tt/None,6024 A,0,322.52341720266253,267.5752004110965,12.152733508291602,-7.152798756333567,5.776175745080866,5.589400649860522,3.4491350283649105,2.498778725980986,0
6024,b,Tt,0.12167707452960985,0.03097759748923634,0.022097432765042058,20.8,46.3,48.6,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,2,2.8,1.7,1,Y,High,N,Tt/Tt,THETE,NA,0.0189,NA,0.0393,32.47422680412371,FC14,None,Tt/None,6024 B,0,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403,4.278407115656774,2.964943201938881,0
6025,a,Tt,0.01962433072348735,0.018668031441723798,0.03831791573269672,10.5,33.3,42.8,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,0.8,1.4,1.1,1,Y,High,N,Tt/Sp,THETE,NA,0.01655,NA,0.042460000000000005,28.04609388239281,FC07,Tt,Tt/Sp,6025 A,0,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289,4.050383790385085,3.7856276584833566,0
6025,b,Sp,NA,0.03180178932473887,0.03981221827374681,NA,31.4,44.1,NA,4.270035662953253e-4,-0.001003591976806606,NA,1.6,1.2,1,N,High,N,Tt/Sp,SUIPU,0.01904,0.01307,NA,0.05161,20.20717377860235,FC07,Sp,Tt/Sp,6025 B,0,318.0178932473887,398.1221827374681,4.270035662953253,-10.035919768066059,5.762107649270738,5.98675894997478,3.1608423632634963,2.2283467595665645,0
6026,a,Tt,NA,0.018063464883455005,0.014578819015147904,NA,41,46.4,NA,0.004437561319404981,-1.0946494792402062e-4,NA,2.3,1.9,1,Y,High,N,Tt/Tt,THETE,NA,0.02705,NA,0.09192,22.736824409515002,FC15,Tt,Tt/Sp,6026 A,0,180.63464883455003,145.78819015147903,44.37561319404981,-1.0946494792402062,5.196476476593163,4.982154815961063,4.154122344460283,2.902836754682318,0
6026,b,Tt,NA,0.021679761989539026,0.01971226536119053,NA,41.7,46.2,NA,0.002456043112603057,-7.736720651709827e-4,NA,2.4,1.5,1,N,High,N,Tt/Tt,THETE,NA,0.00917,NA,0.05633,13.999999999999998,FC15,Sp,Tt/Sp,6026 B,0,216.79761989539026,197.1226536119053,24.56043112603057,-7.7367206517098275,5.378964291162933,5.28382614216559,3.7814781147334053,2.449599195071726,0
6028,a,None,NA,NA,0.0069930941699971605,NA,NA,45.2,NA,NA,-0.0011240266397388732,NA,NA,1.3,1,N,High,N,MIXED/THETE,MIXED,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tt,NA,69.93094169997161,NA,-11.240266397388732,NA,4.247508207948166,NA,2.0894113324608776,0
6028,a,Sp,NA,0.013743346920825461,NA,NA,31.3,NA,NA,-8.39363360213452e-4,NA,NA,1.6,NA,1,N,High,N,MIXED/THETE,MIXED,NA,0.0061,NA,NA,100,FC09,Sp,Sp/None,6028 A,Tt,137.43346920825462,NA,-8.393633602134521,NA,4.9231399397048525,NA,2.391217574974443,NA,0
6028,a,Tt,NA,0.023405378951008915,NA,NA,31.7,NA,NA,-8.02692338748856e-5,NA,NA,1.7,NA,1,N,High,N,MIXED/THETE,MIXED,0.0274,0.0318,NA,0.05705,35.790658413055716,FC09,Sp,Sp/None,6028 A,Tt,234.05378951008916,NA,-0.802692338748856,NA,5.455550958642945,NA,2.9187287215191855,NA,0
6028,b,Tt,NA,0.011049952629107906,0.0060915248743094175,NA,22.6,45.1,NA,7.116579829188896e-4,-8.466623983431898e-4,NA,0.9,1.6,1,Y,High,N,MIXED/THETE,THETE,0.0105,0.0629,NA,0.0385,62.03155818540434,FC09,None,Sp/None,6028 B,0,110.49952629107906,60.915248743094175,7.116579829188896,-8.466623983431898,4.705011233990058,4.109483533243723,3.27476467513886,2.384515216995081,0
