Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio
6057,a,NA,NA,0.005761678342767418,NM,NA,NA,-4.598148511635869e-4,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,MIXED,48.6,0.5,91.2
6057,a,NA,0.015128464011401555,NA,SUIPU,NA,3.2846896618499155e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,38.3,1.2,33.1
6057,a,NA,0.00975267365108734,NA,THETE,NA,3.9415872124748397e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,42.6,1,44.3
6057,b,NA,0.006597285283492793,0.004123407973594562,THETE,NA,4.016290571162706e-5,-7.335274275114823e-4,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,43.3,0.6,78.2
6058,a,NA,NA,0.003716580746080167,NM,NA,NA,-2.1877857108831833e-5,uncolonized_roots,1,Y,Low,N,NM/NM,NM,45.9,0.7,64.7
6058,b,NA,NA,0.005541779432944427,NM,NA,NA,-2.2624797522935447e-4,uncolonized_roots,1,N,Low,N,NM/NM,NM,44.3,0.7,66
6059,b,0.005926601883516014,0.017052173391278735,0.012248256365999355,THETE,0.002003530662064268,4.5619896593568354e-4,-5.911967001233642e-4,mycorrhizas,1,N,High,Y,THETE,THETE,40,3.5,11.6
6061,a,NA,NA,0.007136024378321171,NM,NA,NA,-0.0012809570919493085,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,53.5,0.9,59
6061,b,NA,0.007982602527911276,0.006498332566918119,THETE,NA,-6.860838065314567e-4,-7.225788955825818e-4,mycorrhizas,1,N,Low,N,THETE/THETE,THETE,55.5,1.1,48.4
6062,a,0.007641774106450949,0.0548845683090724,0.005068993466045946,SUIPU,0.002083815429048841,5.218885525661299e-4,-6.787847919293988e-4,mycorrhizas,1,N,Low,N,SUIPU/NM,SUIPU,40.4,2.1,19.5
6062,b,NA,NA,0.005376854608955428,NM,NA,NA,-8.50311917809099e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,49,0.8,63.6
6063,a,NA,0.0728840722502695,0.006982099521478657,SUIPU,NA,6.569168752761922e-4,-0.001076582646856672,mycorrhizas,1,Y,High,N,SUIPU/NM,SUIPU,34.7,1.7,19.9
6063,b,NA,0.06622974173825558,0.009455833846683026,NM,NA,5.401356445906558e-4,-5.583512053991546e-4,uncolonized_roots,1,N,High,N,SUIPU/NM,NM,46.3,1.3,34.4
