Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6070,A,Tt,NA,0.0118,NA,0.0298,28.365384615384613,High,FC14,Sp,Tt,Tt/Tt,Sp/None,1,6070 A
6070,B,Tt,NA,0.0191,NA,0.0556,25.568942436412318,High,FC14,None,Tt,Tt/Tt,Sp/None,1,6070 B
6071,A,Tt,NA,0.02043,NA,0.01718,54.32065939909598,Low,FC11,Tt,Tt,Tt/Sp,Tt/Sp,1,6071 A
6071,B,Sp,NA,0.0024,NA,0.03737,6.034699522252954,Low,FC11,Sp,Sp,Tt/Sp,Tt/Sp,1,6071 B
6072,A,Tt,NA,0.0174,NA,0.0122,58.783783783783775,Low,FC10,Tt,Tt,Tt/Tt,Tt/Tt,1,6072 A
6072,B,Tt,NA,0.0209,NA,0.07153,22.61170615600995,Low,FC10,Tt,Tt,Tt/Tt,Tt/Tt,1,6072 B
6073,A,Tt,NA,0.032,NA,0.00646,83.20332813312532,High,B01,Tt,Tt,Tt/Tt,Tt/None,0,6073 A
6073,B,Tt,NA,0.01424,NA,0.17317000000000002,7.598313857318178,High,B01,None,Tt,Tt/Tt,Tt/None,0,6073 B
6074,A,NA,NA,0,NA,0.02876,0,Low,FC08,None,None,None/None,None/None,1,6074 A
6074,B,NA,NA,0,NA,0.01858,0,Low,FC08,None,None,None/None,None/None,1,6074 B
6075,A,Tt,NA,0.0065,NA,0.017300000000000003,27.310924369747898,Low,FC10,Tt,Tt,Tt/Tt,Tt/Tt,1,6075 A
6075,B,Tt,NA,0.00294,NA,0.0149,16.479820627802688,Low,FC10,Tt,Tt,Tt/Tt,Tt/Tt,1,6075 B
6076,A,NA,NA,0,NA,0.0327,0,Low,FC10,Sp,None,Tt/None,Sp/None,1,6076 A
6076,B,Tt,NA,0,NA,0.0406,0,Low,FC10,None,Tt,Tt/None,Sp/None,1,6076 B
6077,A,Sp,6.5e-4,0.00876,NA,0.043739999999999994,NA,Low,FC03,Sp,Sp,Sp/Sp,Sp/Sp,1,6077 A
6077,B,Sp,0.00817,0.00748,NA,0.025800000000000003,NA,Low,FC03,Sp,Sp,Sp/Sp,Sp/Sp,1,6077 B
6078,A,Tt,NA,0.01268,NA,0.021589999999999998,37.000291800408526,Low,FC04,Tt,Tt,Tt/Sp,Tt/Sp,1,6078 A
6078,B,Sp,0.00644,0.00375,NA,0.03691,9.222823413674371,Low,FC04,Sp,Sp,Tt/Sp,Tt/Sp,1,6078 B
6079,A,Sp,0.0114,0.0062,NA,0.07999999999999999,7.192575406032484,Low,FC06,Sp,Sp,Sp/None,Sp/None,1,6079 A
6079,B,NA,NA,0,NA,0.0288,0,Low,FC06,None,None,Sp/None,Sp/None,1,6079 B
6080,A,Tt,NA,0.01527,NA,0.034100000000000005,30.929714401458376,Low,FC06,Tt,Tt,Tt/Tt,Tt/Tt,1,6080 A
6080,B,Tt,NA,0.0087,NA,0.0287,23.262032085561493,Low,FC06,Tt,Tt,Tt/Tt,Tt/Tt,1,6080 B
6082,A,NA,NA,0,NA,0.0057,0,High,FC02,None,Failed,FAILED,None/None,1,6082 A
