Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched
6044,a,NA,0.008356411644273587,0.0037055853691632112,Tt,NA,-2.9176775461658977e-5,-5.765986997945394e-4,N,Low,N,Tt/Tt,Tt,43.7,0.6,78.6,-14.492595365288276,SELF,-286.40627732336964,NA,0.01025,NA,0.032529999999999996,23.95979429640019,THETE/THETE,1
6044,b,NA,0.007894647031101654,0.00875220645266328,Tt,NA,-1.861037787133646e-4,-1.2771227789387662e-4,Y,Low,N,Tt/Tt,Tt,47.6,1,48.2,-61.81588145864694,SELF,-42.42067026087052,NA,0.0018600000000000001,NA,0.02524,6.863468634686347,THETE/THETE,1
6045,a,NA,0.0031887998967550235,0.0050470033110803225,Tt,NA,5.1111267600434385e-5,-5.474027119702352e-4,N,Low,N,Tt/Tt,Tt,44.1,0.9,51.1,-5.825327180564669,SELF,62.38937217686854,0.00144,0.01733,NA,0.05926,22.626974800887844,THETE/THETE,1
6045,b,NA,0.00647634304745992,0.004882076837188887,Tt,NA,-2.3719639807545656e-4,-0.001321102170759536,Y,Low,N,Tt/Tt,Tt,46.4,0.6,83.4,-4.9022272393485675,SELF,-27.303715823710256,NA,0.03315,NA,0.032869999999999996,50.21205695243866,THETE/THETE,1
6048,a,NA,NA,0.008609280915019113,None,NA,NA,-6.824342990967569e-4,N,High,N,Tt/None,None,42.8,1.5,27.8,-12.615545447252604,0,NA,NA,0,NA,0.00795,0,THETE/NM,1
6048,b,NA,0.031658930390853435,0.010016529759296011,Tt,NA,0.0048754552613339275,-1.4231014668225628e-4,Y,High,N,Tt/None,Tt,40.4,2.7,15.1,-222.46432267082176,NM,6.493533156161407,NA,0.00354,NA,0.0211,14.366883116883116,THETE/NM,1
6049,a,0.014282008177049388,0.05637837019392866,0.02185562379867756,Tt,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,Y,High,N,Tt/None,Tt,37.1,2.8,13.3,1929.8050717283077,NM,12.349376274612958,0.02036,0.0172,NA,0.08981,16.073264180917672,THETE/NM,1
6049,b,NA,NA,0.013699374314350976,None,NA,NA,-0.001321102170759536,N,High,N,Tt/None,None,45.8,1.6,27.9,-10.369655441921536,0,NA,NA,0,NA,0.03994,0,THETE/NM,1
6050,a,NA,0.022657985366622002,0.00862027520181008,Sp,NA,-1.2041334510382029e-4,-0.001456135855088636,N,High,N,Sp/Sp,Sp,14.9,1.2,12.3,-15.560351245689773,SELF,-188.16839069694728,0.00794,0.01354,NA,0.03553,27.59323415528836,SUIPU/SUIPU,1
6050,b,NA,0.02149290813204563,0.009884601881156252,Sp,NA,2.0438808139339182e-4,-9.926433855231842e-4,Y,High,N,Sp/Sp,Sp,22.5,1.8,12.8,-21.65219498311324,SELF,105.15734570000484,0.02985,0.02736,NA,0.03931,41.037948102594875,SUIPU/SUIPU,1
