Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
5,127,180123,AY,6078,B,FC04,other %,0.02311,,,,,,,,,,,,,,,,,,,
5,128,180123,AY,6078,B,FC04,extra mycos,0.00587,,,,,,,,,,,,,,,,,,,
5,129,180123,AY,6078,B,FC04,dead mycos %,0.00644,,,,,,,,,,,,,,,,,,,
5,130,180123,AY,6078,B,FC04,mycos %,0.00375,,,,,,,,,,,,,,,,,,,
5,131,180123,AY,6078,B,FC04,NM %,0.0138,,,,,,,,,,,,,,,,,,,
5,132,180123,AY,6078,A,FC04,extra roots,0.05489,,,,,,,,,,,,,,,,,,,
5,133,180123,AY,6078,none,FC04,shoot,0.38778,,,,,,,,,,,,,,,,,,,
5,134,180123,AY,6078,A,FC04,mycos %,0.01268,,,,,,,,,,,,,,,,,,,
5,135,180123,AY,6078,A,FC04,other %,0.0135,,,,,,,,,,,,,,,,,,,
5,136,180123,AY,6078,A,FC04,NM %,0.00809,,,,,,,,,,,,,,,,,,,
5,137,180123,AY,6001,B,FC04,NM %,0.01601,,,,,,,,,,,,,,,,,,,
5,138,180123,AY,6001,B,FC04,extra roots,0.19785,,,,,,,,,,,,,,,,,,,
5,139,180123,AY,6001,B,FC04,TFRs %,0.0057,,,,,,,,,,,,,,,,,,,
5,140,180123,AY,6001,A,FC04,other roots,0.11859,,,,,,,,,,,,,,,,,,,
5,141,180123,AY,6001,A,FC04,other %,0.00498,,,,,,,,,,,,,,,,,,,
5,142,180123,AY,6001,A,FC04,dead mycos %,0.00312,,,,,,,,,,,,,,,,,,,
5,143,180123,AY,6001,A,FC04,mycos %,0.00774,,,,,,,,,,,,,,,,,,,
5,144,180123,AY,6084,none,FC04,shoot,1.14626,,,,,,,,,,,,,,,,,,,
5,145,180123,AY,6001,A,FC04,hyphae,0.00031,,,,,,,,,,,,,,,,,,,
online,146,180801,LB,6018,BR,FC12,crust,not weighed,,,,,,,,,,,,,,,,,,,
online,147,180801,LB,6018,B,FC12,mycos %,0.01757,,,,,,,,,,,,,,,,,,,
online,148,180801,LB,6090,A,FC12,mycos %,0.03334,,,,,,,,,,,,,,,,,,,
