plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6032,b,NM,Bogar_6032_b_NM,4_F5,4,21,2581,-22.97,50.4,1302,3.55,0.6,15,87.6
6061,a,TFR,Bogar_6061_a_TFR,4_F6,4,22,2028,-24.54,51.5,1044,5.85,1,19,53.6
6072,a,mycorrhizas,Bogar_6072_a_mycorrhizas,4_F7,4,23,2694,-23.9,43.2,1164,6.13,1.3,34,33.9
6025,a,NM,Bogar_6025_a_NM,4_F8,4,24,3195,4.75,42.8,1369,12.68,1.1,35,39.7
6055,a,hyphae/rhizomorphs,Bogar_6055_a_hyphae/rhizomorphs,4_F9,4,25,332,-28.65,30.4,101,5.03,2.4,8,12.9
6078,a,NM,Bogar_6078_a_NM,4_F10,4,26,2305,-22.89,45.8,1056,0.88,0.6,13,81.5
6007,b,NM,Bogar_6007_b_NM,4_F11,4,27,1820,-25.81,47.4,863,1.53,0.5,9,100.2
6077,b,NM,Bogar_6077_b_NM,4_F12,4,29,2395,-20.92,46.8,1121,3.46,0.9,21,53.7
6032,a,mycorrhizas,Bogar_6032_a_mycorrhizas,4_G1,4,30,1842,-26.53,45.5,838,4.55,0.8,15,55.8
6094,a,NM,Bogar_6094_a_NM,4_G2,4,31,3716,-13.42,44.8,1665,1.97,2,73,22.7
6041,a,NM,Bogar_6041_a_NM,4_G3,4,32,3525,-20.61,47.6,1677,3.6,1.3,46,36.2
6048,b,NM,Bogar_6048_b_NM,4_G4,4,33,2058,-21,41.5,854,5.51,1.5,31,27.4
6021,a,hyphae/rhizomorphs,Bogar_6021_a_hyphae/rhizomorphs,4_G5,4,34,3020,-27.3,24.2,731,4.92,0.7,21,34.9
6023,b,mycorrhizas,Bogar_6023_b_mycorrhizas,4_G6,4,35,2307,17.69,49.5,1142,10.93,2.7,62,18.5
6053,b,NM,Bogar_6053_b_NM,4_G7,4,36,3290,-23.16,45.6,1501,4.54,0.7,23,65.3
6093,a,mycorrhizas,Bogar_6093_a_mycorrhizas,4_G8,4,37,2624,-5.09,29.8,782,6.51,1.6,42,18.4
6031,b,NM,Bogar_6031_b_NM,4_G9,4,39,2365,-25.38,50.1,1186,3.58,0.5,13,91.8
6024,b,mycorrhizas,Bogar_6024_b_mycorrhizas,4_G10,4,40,3519,-1.93,46.3,1630,20.37,2.8,97,16.7
6097,b,NM,Bogar_6097_b_NM,4_G11,4,41,2866,-18.19,45.9,1316,3.95,1.1,32,41.4
6092,a,NM,Bogar_6092_a_NM,4_G12,4,42,2575,-24.74,46,1185,4.92,0.6,16,76.2
6018,b,mycorrhizas,Bogar_6018_b_mycorrhizas,4_H1,4,43,2714,-21.31,38.3,1038,7.66,2,54,19.3
